ref_area,indicator,source,classif1,time,obs_value,obs_status
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_08,2016,8.7498,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_09,2016,14.5255,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_10,2016,62.9293,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_01,2017,0.1648,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_02,2017,0.2361,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_03,2017,0.4642,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_04,2017,1.1023,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_05,2017,2.2571,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_06,2017,3.8396,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_07,2017,5.8604,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_08,2017,8.7694,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_09,2017,14.5329,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_10,2017,62.7732,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_01,2004,0.6884,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_02,2004,1.5162,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_03,2004,2.3455,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_04,2004,3.2408,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_05,2004,4.3401,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_06,2004,5.6142,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_07,2004,7.313,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_08,2004,9.8156,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_09,2004,15.5097,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_10,2004,49.6165,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_01,2005,0.6889,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_02,2005,1.5136,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_03,2005,2.3385,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_04,2005,3.2286,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_05,2005,4.3196,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_06,2005,5.5936,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_07,2005,7.265,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_08,2005,9.7632,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_09,2005,15.444,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_10,2005,49.845,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_01,2006,0.6858,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_02,2006,1.5008,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_03,2006,2.3155,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_04,2006,3.1957,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_05,2006,4.2748,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_06,2006,5.5475,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_07,2006,7.1827,I
