"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,6.69641691545253,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,6.58062805843115,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,6.42350901599038,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,6.3636810883901,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,6.37329650080104,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,6.4349387393739,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,6.52212205076796,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,6.90584316668749,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,7.06375423378897,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,8.57665814207433,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,1.13781997686605,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,1.21934864314786,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,1.29774689852131,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,1.6932065206754,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,1.76418624733718,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,1.74902891161886,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,1.73768566115039,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,1.70992542684707,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,1.75372873192586,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,1.77046707262711,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,1.82360831653865,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,1.8730816675056,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,1.9076088440551,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,1.93196624309308,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,2.07262975500428,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,2.48712610795037,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,2.41505251234051,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,2.37030972399934,,
"TUR","Turkey","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,2.59388963129994,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2001","2001","USD","US Dollar","0","Units",,,22558.6768160607,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2002","2002","USD","US Dollar","0","Units",,,22513.8336735017,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,23356.2198713932,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,23322.2380114185,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,23791.1626769606,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,23654.0345524869,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,24097.3771464712,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,23790.0088539693,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,24781.2345227476,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","Units",,,24633.1358198615,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","Units",,,24572.5180486659,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","Units",,,24383.8549435032,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","Units",,,24358.5467108324,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","Units",,,25405.468057909,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2015","2015","USD","US Dollar","0","Units",,,25459.6300557461,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2016","2016","USD","US Dollar","0","Units",,,25385.7996883193,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2017","2017","USD","US Dollar","0","Units",,,25935.3343080989,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2018","2018","USD","US Dollar","0","Units",,,25810.9722372078,,
"LUX","Luxembourg","PPP","In 2019 constant prices at 2019 USD PPPs","A","Annual","2019","2019","USD","US Dollar","0","Units",,,26252.4536104059,,
"NZL","New Zealand","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2001","2001","USD","US Dollar","0","Units",,,15203.2387124639,,
"NZL","New Zealand","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","Units",,,15315.1877994366,,
"NZL","New Zealand","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","Units",,,15901.817020034,,
"NZL","New Zealand","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","Units",,,16452.1640023319,,
"NZL","New Zealand","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,16895.3421438577,,
"NZL","New Zealand","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","Units",,,17536.0276809328,,
"NZL","New Zealand","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","Units",,,18701.657008296,,
