"COUNTRY","Country","SEX","Sex","SERIES","Series","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2010","2010",31.134318585358,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2011","2011",31.2437636247455,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2012","2012",32.0543404847482,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2013","2013",31.3833925966232,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2014","2014",31.635133330662,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2015","2015",31.6959978012975,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2016","2016",31.8140606285325,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2017","2017",31.868887017089,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2000","2000",20.423461864683,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2001","2001",20.1557411280245,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2002","2002",20.6449604664294,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2003","2003",21.8839788617387,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2004","2004",23.0207307906939,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2005","2005",24.107481852332,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2006","2006",24.4522844991084,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2007","2007",24.7680964865601,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2008","2008",25.2789590795283,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2009","2009",25.6187508472348,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2010","2010",26.6113298779917,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2011","2011",27.2456944487172,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2012","2012",27.3026891974708,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2013","2013",27.5645630573248,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2014","2014",27.7596283187744,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2015","2015",28.1103233891573,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2016","2016",27.8336350306404,,
"BEL","Belgium","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2017","2017",27.4627145338044,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2000","2000",19.4931806345302,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2001","2001",18.9115646712018,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2002","2002",19.0246340844394,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2003","2003",19.9607416101869,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2004","2004",20.5020920834719,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2005","2005",20.8256781867896,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2006","2006",20.8617817324446,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2007","2007",21.7726784633503,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2008","2008",21.9193427639729,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2009","2009",22.1196455235895,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2010","2010",22.7272726993966,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2011","2011",23.6557089777656,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2012","2012",23.6514522557578,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2013","2013",23.6079220734638,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2014","2014",24.2557151402506,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2015","2015",25.1870711298206,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2016","2016",25.1912122337284,,
"BEL","Belgium","M","Men","MEDIAN","Median","YOUTH","Youth over Prime-age","2017","2017",24.732536217747,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2000","2000",20.8619000979432,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2001","2001",20.4500978473581,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2002","2002",20.3140333660451,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2003","2003",20.8619000979432,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2004","2004",21.3582677165354,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2005","2005",21.8163869693978,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2006","2006",21.8379446640316,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2007","2007",22.3320158102767,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2008","2008",22.7048371174729,,
"BEL","Belgium","T","Total","MEDIAN","Median","YOUTH","Youth over Prime-age","2009","2009",23.0464886251236,,
