"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LCEAMN01_IXOB","Manufacturing, Index","POL","Poland","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",127.4107,,
"LCEAMN01_IXOB","Manufacturing, Index","POL","Poland","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",133.3499,,
"LCEAMN01_IXOB","Manufacturing, Index","PRT","Portugal","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",115.2749,,
"LCEAMN01_IXOB","Manufacturing, Index","PRT","Portugal","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",119.4473,,
"LCEAMN01_IXOB","Manufacturing, Index","PRT","Portugal","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",118.6665,,
"LCEAMN01_IXOB","Manufacturing, Index","SVK","Slovak Republic","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",116.6784,,
"LCEAMN01_IXOB","Manufacturing, Index","SVK","Slovak Republic","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",122.0056,,
"LCEAMN01_IXOB","Manufacturing, Index","SVK","Slovak Republic","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",123.3551,,
"LCEAMN01_IXOB","Manufacturing, Index","ESP","Spain","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",101.4328,,
"LCEAMN01_IXOB","Manufacturing, Index","ESP","Spain","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",103.112,,
"LCEAMN01_IXOB","Manufacturing, Index","ESP","Spain","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",106.4705,,
"LCEAMN01_IXOB","Manufacturing, Index","SWE","Sweden","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",106.9582,,
"LCEAMN01_IXOB","Manufacturing, Index","SWE","Sweden","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",109.4704,,
"LCEAMN01_IXOB","Manufacturing, Index","SWE","Sweden","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",110.3158,,
"LCEAMN01_IXOB","Manufacturing, Index","TUR","Turkey","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",161.2,,
"LCEAMN01_IXOB","Manufacturing, Index","TUR","Turkey","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",199.775,,
"LCEAMN01_IXOB","Manufacturing, Index","TUR","Turkey","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",236.475,,
"LCEAMN01_IXOB","Manufacturing, Index","GBR","United Kingdom","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",106.6588,,
"LCEAMN01_IXOB","Manufacturing, Index","GBR","United Kingdom","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",109.1397,,
"LCEAMN01_IXOB","Manufacturing, Index","GBR","United Kingdom","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",109.0538,,
"LCEAMN01_IXOB","Manufacturing, Index","USA","United States","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",108.1889,,
"LCEAMN01_IXOB","Manufacturing, Index","USA","United States","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",111.2618,,
"LCEAMN01_IXOB","Manufacturing, Index","USA","United States","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",114.4813,,
"LCEAMN01_IXOB","Manufacturing, Index","ISR","Israel","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",108.0706,,
"LCEAMN01_IXOB","Manufacturing, Index","ISR","Israel","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",116.5206,,
"LCEAMN01_IXOB","Manufacturing, Index","ISR","Israel","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",121.6481,,
"LCEAMN01_IXOB","Manufacturing, Index","SVN","Slovenia","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",109.9944,,
"LCEAMN01_IXOB","Manufacturing, Index","SVN","Slovenia","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",114.3031,,
"LCEAMN01_IXOB","Manufacturing, Index","SVN","Slovenia","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",120.2229,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","AUT","Austria","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",106.4865,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","AUT","Austria","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",109.0747,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","AUT","Austria","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",108.6447,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","BEL","Belgium","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",104.7236,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","BEL","Belgium","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",107.5879,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","BEL","Belgium","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",109.4221,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","CAN","Canada","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",103.406,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","CAN","Canada","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",106.5909,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","CAN","Canada","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",109.8881,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","CZE","Czech Republic","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",119.7721,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","CZE","Czech Republic","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",126.1143,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","CZE","Czech Republic","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",126.8761,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","DNK","Denmark","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",106.7978,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","DNK","Denmark","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",109.2801,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","DNK","Denmark","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",111.5906,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","FIN","Finland","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",102.6757,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","FIN","Finland","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",104.3761,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","FIN","Finland","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",106.0765,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","FRA","France","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",104.3425,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","FRA","France","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",106.3427,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","DEU","Germany","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",107.5731,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","DEU","Germany","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",109.3977,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","DEU","Germany","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",110.4224,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","HUN","Hungary","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",130.5672,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","HUN","Hungary","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",148.5993,,
