"COUNTRY","Country","SEX","Sex","AGE","Age","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2016","2016","MONTH","Months","0","Units",,,20.6936721821548,,
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2017","2017","MONTH","Months","0","Units",,,15.91838193148,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2001","2001","MONTH","Months","0","Units",,,10.766601026575,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2002","2002","MONTH","Months","0","Units",,,11.1905770797156,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2003","2003","MONTH","Months","0","Units",,,10.8863528187317,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2004","2004","MONTH","Months","0","Units",,,10.7447406570612,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2005","2005","MONTH","Months","0","Units",,,9.29587296190672,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2006","2006","MONTH","Months","0","Units",,,9.04307402106542,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2007","2007","MONTH","Months","0","Units",,,7.92889075007717,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2008","2008","MONTH","Months","0","Units",,,7.62443065791848,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2009","2009","MONTH","Months","0","Units",,,7.49762035607001,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2010","2010","MONTH","Months","0","Units",,,8.19634549486783,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2011","2011","MONTH","Months","0","Units",,,8.50770489664924,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2012","2012","MONTH","Months","0","Units",,,8.55419090690917,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2013","2013","MONTH","Months","0","Units",,,8.44989685966578,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2014","2014","MONTH","Months","0","Units",,,9.53184426612063,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2015","2015","MONTH","Months","0","Units",,,10.1498899251263,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2016","2016","MONTH","Months","0","Units",,,10.6444889729877,,
"AUS","Australia","MW","All persons","900000","Total","A","Annual","2017","2017","MONTH","Months","0","Units",,,10.6975511644315,,
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2001","2001","MONTH","Months","0","Units",,,4.69299983978271,,
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2002","2002","MONTH","Months","0","Units",,,4.4869999885559,,
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2003","2003","MONTH","Months","0","Units",,,4.50299978256225,,
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2004","2004","MONTH","Months","0","Units",,,4.26300001144409,,
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2005","2005","MONTH","Months","0","Units",,,3.98900008201599,,
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2006","2006","MONTH","Months","0","Units",,,4.25699996948242,,
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2007","2007","MONTH","Months","0","Units",,,3.93799996376037,,
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2008","2008","MONTH","Months","0","Units",,,3.51999998092651,,
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2009","2009","MONTH","Months","0","Units",,,4.40700006484985,,
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2010","2010","MONTH","Months","0","Units",,,4.67100000381469,,
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2011","2011","MONTH","Months","0","Units",,,4.24300003051757,,
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2012","2012","MONTH","Months","0","Units",,,4.90899991989135,,
"AUS","Australia","MEN","Men","1519","15 to 19","A","Annual","2013","2013","MONTH","Months","0","Units",,,4.77199983596801,,
