"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2002","2002","IDX","Index","0","Units",,,2.595,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2003","2003","IDX","Index","0","Units",,,2.595,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2004","2004","IDX","Index","0","Units",,,2.595,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2005","2005","IDX","Index","0","Units",,,2.595,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2006","2006","IDX","Index","0","Units",,,2.595,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2007","2007","IDX","Index","0","Units",,,2.595,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2008","2008","IDX","Index","0","Units",,,2.595,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2009","2009","IDX","Index","0","Units",,,2.595,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2010","2010","IDX","Index","0","Units",,,2.595,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2011","2011","IDX","Index","0","Units",,,2.595,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2012","2012","IDX","Index","0","Units",,,2.595,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2013","2013","IDX","Index","0","Units",,,2.595,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2014","2014","IDX","Index","0","Units",,,2.595,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2015","2015","IDX","Index","0","Units",,,2.595,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2016","2016","IDX","Index","0","Units",,,2.595,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2017","2017","IDX","Index","0","Units",,,2.595,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2019)","2018","2018","IDX","Index","0","Units",,,2.595,,
